municipalidad,anio_semestre,tipo_compra,RubroN1,monto_neto_clp,n_items,n_ordenes
Cerrillos,2015-1,convenio_marco,"Alimentos, bebidas y tabaco",2117909,43,16
Cerrillos,2015-1,convenio_marco,Artículos de electrónica,254821,1,1
Cerrillos,2015-1,convenio_marco,Artículos de fabricación y producción,495942,23,17
Cerrillos,2015-1,convenio_marco,Artículos eléctricos y de iluminación,579369,8,5
Cerrillos,2015-1,convenio_marco,"Artículos para estructuras, obras y construcciones",393980,1,1
Cerrillos,2015-1,convenio_marco,Artículos para plantas y animales,843735,13,9
Cerrillos,2015-1,convenio_marco,"Combustibles, lubricantes y anticorrosivos",358046,4,4
Cerrillos,2015-1,convenio_marco,"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos",1467904,13,11
Cerrillos,2015-1,convenio_marco,Equipamiento para laboratorios,127800,13,6
Cerrillos,2015-1,convenio_marco,Equipamiento para manejo y estiba de materiales,419676,4,4
Cerrillos,2015-1,convenio_marco,Equipamiento y suministros médicos,2702442,15,10
Cerrillos,2015-1,convenio_marco,"Equipos y suministros de defensa, orden público, protección y seguridad",1643155,19,17
Cerrillos,2015-1,convenio_marco,"Equipos y suministros de imprenta, fotográficos y audiovisuales",199562,1,1
Cerrillos,2015-1,convenio_marco,Equipos y suministros de limpieza,21949999,453,52
Cerrillos,2015-1,convenio_marco,"Equipos, accesorios y suministros de oficina",10529247,323,61
Cerrillos,2015-1,convenio_marco,Herramientas y maquinaria en general,287268,22,18
Cerrillos,2015-1,convenio_marco,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",964034,23,12
Cerrillos,2015-1,convenio_marco,Maquinaria para fabricación y transformación industrial,269800,8,7
Cerrillos,2015-1,convenio_marco,Maquinaria para generación y distribución de energía,154097,9,7
Cerrillos,2015-1,convenio_marco,"Maquinarias, equipos y suministros para la industria de servicios",15510,2,2
Cerrillos,2015-1,convenio_marco,Medicamentos y productos farmacéuticos,1700000,1,1
