municipalidad,anio_semestre,tipo_compra,monto_neto_clp,n_items,n_ordenes
Cerrillos,2015-1,convenio_marco,225350592,1609,347
Cerrillos,2015-1,licitacion,411288275,1127,361
Cerrillos,2015-1,trato_directo,210873313,99,64
Cerrillos,2015-2,convenio_marco,522607799,2588,617
Cerrillos,2015-2,licitacion,448457059,826,329
Cerrillos,2015-2,trato_directo,162562557,127,60
Cerrillos,2016-1,convenio_marco,605311543,1768,436
Cerrillos,2016-1,licitacion,523571908,561,248
Cerrillos,2016-1,trato_directo,60708479,37,30
Cerrillos,2016-2,convenio_marco,574640836,1895,477
Cerrillos,2016-2,licitacion,937614092,553,173
Cerrillos,2016-2,trato_directo,53275189,39,32
Cerrillos,2017-1,convenio_marco,335170300,1150,301
Cerrillos,2017-1,licitacion,2976491828,763,292
Cerrillos,2017-1,trato_directo,90959592,91,41
Cerrillos,2017-2,convenio_marco,284290580,1332,336
Cerrillos,2017-2,licitacion,457253050,517,218
Cerrillos,2017-2,trato_directo,72278214,72,38
Cerrillos,2018-1,convenio_marco,353968374,827,260
Cerrillos,2018-1,licitacion,473150245,439,249
Cerrillos,2018-1,trato_directo,144323625,102,42
Cerrillos,2018-2,convenio_marco,1296252079,1221,485
Cerrillos,2018-2,licitacion,1495351915,555,336
Cerrillos,2018-2,trato_directo,321573456,117,66
Cerrillos,2019-1,convenio_marco,644145258,1369,412
Cerrillos,2019-1,licitacion,4775269425,492,250
Cerrillos,2019-1,trato_directo,136138907,86,46
Cerrillos,2019-2,convenio_marco,576924673,738,384
Cerrillos,2019-2,licitacion,2196098308,488,302
Cerrillos,2019-2,trato_directo,250957176,53,45
Cerrillos,2020-1,convenio_marco,468945539,356,178
Cerrillos,2020-1,licitacion,3242478103,186,144
Cerrillos,2020-1,trato_directo,225170949,93,62
Cerrillos,2020-2,compra_agil,45533284,484,124
Cerrillos,2020-2,convenio_marco,1191112954,519,209
Cerrillos,2020-2,licitacion,3611114546,308,203
Cerrillos,2020-2,trato_directo,1173985812,44,38
Cerrillos,2021-1,compra_agil,51983367,464,116
Cerrillos,2021-1,convenio_marco,736065224,143,38
Cerrillos,2021-1,licitacion,1083492434,266,126
Cerrillos,2021-1,trato_directo,114661770,44,37
Cerrillos,2021-2,compra_agil,130660003,798,253
Cerrillos,2021-2,convenio_marco,304549344,143,49
Cerrillos,2021-2,licitacion,379170712,254,111
Cerrillos,2021-2,trato_directo,93613436,62,41
Cerrillos,2022-1,compra_agil,77725845,464,140
Cerrillos,2022-1,convenio_marco,99591981,40,13
Cerrillos,2022-1,licitacion,2101661744,142,74
Cerrillos,2022-1,trato_directo,598730936,55,31
Cerrillos,2022-2,convenio_marco,162015104,29,21
Cerrillos,2022-2,licitacion,1273889536,311,133
Cerrillos,2022-2,trato_directo,1036241769,78,66
Cerrillos,2023-1,compra_agil,112211956,422,223
Cerrillos,2023-1,convenio_marco,349191284,103,33
Cerrillos,2023-1,licitacion,3060810152,96,73
Cerrillos,2023-1,trato_directo,1342578023,62,52
Cerrillos,2023-2,compra_agil,226948093,753,421
Cerrillos,2023-2,convenio_marco,190610264,49,35
Cerrillos,2023-2,licitacion,1355580527,152,112
Cerrillos,2023-2,trato_directo,413330205,25,21
Cerrillos,2024-1,compra_agil,198469786,552,337
Cerrillos,2024-1,convenio_marco,295871736,222,41
Cerrillos,2024-1,licitacion,5321613282,141,103
Cerrillos,2024-1,trato_directo,866520925,23,17
Cerrillos,2024-2,compra_agil,341211957,679,518
Cerrillos,2024-2,convenio_marco,344936873,54,18
Cerrillos,2024-2,licitacion,8154114455,233,163
Cerrillos,2024-2,trato_directo,218351508,19,17
Cerrillos,2025-1,compra_agil,441690952,1550,263
Cerrillos,2025-1,convenio_marco,241977753,64,16
Cerrillos,2025-1,licitacion,3751509090,75,50
Cerrillos,2025-1,trato_directo,36242848,9,8
Cerrillos,2025-2,compra_agil,406102828,1146,232
Cerrillos,2025-2,convenio_marco,28917239,43,7
Cerrillos,2025-2,licitacion,786525312,30,24
Cerrillos,2025-2,trato_directo,72876368,4,4
Cerro Navia,2015-1,convenio_marco,88330536,158,74
Cerro Navia,2015-1,licitacion,262108672,601,115
Cerro Navia,2015-1,trato_directo,45233485,212,88
Cerro Navia,2015-2,convenio_marco,129321029,578,149
Cerro Navia,2015-2,licitacion,225331910,1324,194
Cerro Navia,2015-2,trato_directo,69980682,386,118
Cerro Navia,2016-1,convenio_marco,245838928,688,173
