municipalidad,anio_semestre,tipo_compra,TamanoProveedor,monto_neto_clp,n_items,n_ordenes,n_proveedores
Cerrillos,2015-1,convenio_marco,Grande,69025841,547,85,17
Cerrillos,2015-1,convenio_marco,Mediana,74459396,751,101,26
Cerrillos,2015-1,convenio_marco,Micro,51246976,201,97,38
Cerrillos,2015-1,convenio_marco,Pequeña,30618380,110,64,39
Cerrillos,2015-1,licitacion,Grande,126190411,202,73,22
Cerrillos,2015-1,licitacion,Mediana,14698921,59,24,14
Cerrillos,2015-1,licitacion,Micro,152350589,325,146,88
Cerrillos,2015-1,licitacion,Pequeña,118048354,541,118,55
Cerrillos,2015-1,trato_directo,Grande,7409555,18,13,8
Cerrillos,2015-1,trato_directo,Mediana,9663213,4,4,4
Cerrillos,2015-1,trato_directo,Micro,121555019,63,35,27
Cerrillos,2015-1,trato_directo,Pequeña,72245526,14,12,12
Cerrillos,2015-2,convenio_marco,Grande,301015064,1573,280,28
Cerrillos,2015-2,convenio_marco,Mediana,53051275,375,95,29
Cerrillos,2015-2,convenio_marco,Micro,105053829,348,146,54
Cerrillos,2015-2,convenio_marco,Pequeña,63487631,292,96,45
Cerrillos,2015-2,licitacion,Grande,96735377,81,35,15
Cerrillos,2015-2,licitacion,Mediana,9609114,62,29,11
Cerrillos,2015-2,licitacion,Micro,232562687,410,154,100
Cerrillos,2015-2,licitacion,Pequeña,109549881,273,111,42
Cerrillos,2015-2,trato_directo,Grande,20650363,14,10,7
Cerrillos,2015-2,trato_directo,Mediana,6750566,13,2,2
Cerrillos,2015-2,trato_directo,Micro,117168829,44,32,18
Cerrillos,2015-2,trato_directo,NoClasificado,831000,1,1,1
Cerrillos,2015-2,trato_directo,Pequeña,17161799,55,15,13
Cerrillos,2016-1,convenio_marco,Grande,258474271,1119,153,21
Cerrillos,2016-1,convenio_marco,Mediana,108677668,207,66,19
Cerrillos,2016-1,convenio_marco,Micro,91718302,245,123,36
Cerrillos,2016-1,convenio_marco,Pequeña,146441303,197,94,42
Cerrillos,2016-1,licitacion,Grande,118388608,65,38,14
Cerrillos,2016-1,licitacion,Mediana,19420899,39,22,9
Cerrillos,2016-1,licitacion,Micro,311635114,223,98,60
Cerrillos,2016-1,licitacion,NoClasificado,210084,1,1,1
Cerrillos,2016-1,licitacion,Pequeña,73917203,233,89,32
Cerrillos,2016-1,trato_directo,Grande,10978725,9,9,3
Cerrillos,2016-1,trato_directo,Mediana,135520,1,1,1
Cerrillos,2016-1,trato_directo,Micro,30258785,19,13,12
Cerrillos,2016-1,trato_directo,Pequeña,19335449,8,7,5
Cerrillos,2016-2,convenio_marco,Grande,291808321,942,167,28
Cerrillos,2016-2,convenio_marco,Mediana,52398525,388,68,19
Cerrillos,2016-2,convenio_marco,Micro,147789707,311,154,66
Cerrillos,2016-2,convenio_marco,Pequeña,82644282,254,88,49
Cerrillos,2016-2,licitacion,Grande,82298343,34,15,6
Cerrillos,2016-2,licitacion,Mediana,166781880,14,5,3
Cerrillos,2016-2,licitacion,Micro,490996139,138,71,42
Cerrillos,2016-2,licitacion,NoClasificado,1092437,6,6,1
Cerrillos,2016-2,licitacion,Pequeña,196445293,361,76,39
Cerrillos,2016-2,trato_directo,Grande,4882016,8,8,5
Cerrillos,2016-2,trato_directo,Mediana,21551835,13,9,5
Cerrillos,2016-2,trato_directo,Micro,18227653,14,11,9
Cerrillos,2016-2,trato_directo,Pequeña,8613685,4,4,4
Cerrillos,2017-1,convenio_marco,Grande,162385584,844,146,24
Cerrillos,2017-1,convenio_marco,Mediana,19321614,130,50,20
Cerrillos,2017-1,convenio_marco,Micro,104570985,139,75,39
Cerrillos,2017-1,convenio_marco,Pequeña,48892117,37,30,26
Cerrillos,2017-1,licitacion,Grande,98633318,212,61,24
Cerrillos,2017-1,licitacion,Mediana,2292570319,77,25,11
Cerrillos,2017-1,licitacion,Micro,241458404,173,92,49
Cerrillos,2017-1,licitacion,NoClasificado,630252,3,3,1
Cerrillos,2017-1,licitacion,Pequeña,343199535,298,111,45
Cerrillos,2017-1,trato_directo,Grande,46374787,21,10,10
Cerrillos,2017-1,trato_directo,Mediana,4296638,46,8,6
Cerrillos,2017-1,trato_directo,Micro,35397159,20,20,13
Cerrillos,2017-1,trato_directo,Pequeña,4891008,4,3,2
Cerrillos,2017-2,convenio_marco,Grande,61994489,836,148,21
Cerrillos,2017-2,convenio_marco,Mediana,67043652,200,41,10
Cerrillos,2017-2,convenio_marco,Micro,128075093,220,107,40
Cerrillos,2017-2,convenio_marco,Pequeña,27177346,76,40,25
Cerrillos,2017-2,licitacion,Grande,140600401,214,43,21
Cerrillos,2017-2,licitacion,Mediana,58383488,31,16,10
Cerrillos,2017-2,licitacion,Micro,122601412,148,84,51
Cerrillos,2017-2,licitacion,NoClasificado,764706,4,4,1
Cerrillos,2017-2,licitacion,Pequeña,134903043,120,71,35
Cerrillos,2017-2,trato_directo,Grande,18170919,14,6,6
Cerrillos,2017-2,trato_directo,Mediana,23520786,11,5,4
Cerrillos,2017-2,trato_directo,Micro,18517878,23,18,17
Cerrillos,2017-2,trato_directo,Pequeña,12068631,24,9,5
Cerrillos,2018-1,convenio_marco,Grande,163588358,525,100,26
Cerrillos,2018-1,convenio_marco,Mediana,32413763,58,29,13
Cerrillos,2018-1,convenio_marco,Micro,70817571,147,75,36
Cerrillos,2018-1,convenio_marco,Pequeña,87148682,97,56,26
Cerrillos,2018-1,licitacion,Grande,75225274,108,35,17
Cerrillos,2018-1,licitacion,Mediana,8731532,40,18,8
Cerrillos,2018-1,licitacion,Micro,199731532,159,91,49
Cerrillos,2018-1,licitacion,NoClasificado,11667297,27,27,2
Cerrillos,2018-1,licitacion,Pequeña,177794611,105,78,33
Cerrillos,2018-1,trato_directo,Grande,6096214,17,8,4
Cerrillos,2018-1,trato_directo,Mediana,403361,1,1,1
Cerrillos,2018-1,trato_directo,Micro,41627047,29,22,16
Cerrillos,2018-1,trato_directo,Pequeña,96197003,55,11,9
Cerrillos,2018-2,convenio_marco,Grande,302429302,496,133,28
Cerrillos,2018-2,convenio_marco,Mediana,193110562,133,51,21
Cerrillos,2018-2,convenio_marco,Micro,393830816,312,173,64
Cerrillos,2018-2,convenio_marco,Pequeña,406881399,280,128,46
Cerrillos,2018-2,licitacion,Grande,221276435,51,25,15
Cerrillos,2018-2,licitacion,Mediana,76492931,38,18,11
Cerrillos,2018-2,licitacion,Micro,944386799,223,149,70
Cerrillos,2018-2,licitacion,NoClasificado,16577571,41,36,2
Cerrillos,2018-2,licitacion,Pequeña,236618179,202,108,48
Cerrillos,2018-2,trato_directo,Grande,4587315,37,14,7
Cerrillos,2018-2,trato_directo,Mediana,4400000,1,1,1
Cerrillos,2018-2,trato_directo,Micro,204599908,37,33,21
Cerrillos,2018-2,trato_directo,Pequeña,107986233,42,18,15
Cerrillos,2019-1,convenio_marco,Grande,192133873,455,102,24
Cerrillos,2019-1,convenio_marco,Mediana,178200041,472,97,18
Cerrillos,2019-1,convenio_marco,Micro,152027729,274,142,46
Cerrillos,2019-1,convenio_marco,Pequeña,121783615,168,71,44
Cerrillos,2019-1,licitacion,Grande,352391051,85,22,16
Cerrillos,2019-1,licitacion,Mediana,4028110495,56,31,19
Cerrillos,2019-1,licitacion,Micro,206365806,215,107,67
Cerrillos,2019-1,licitacion,NoClasificado,2941275,14,13,2
Cerrillos,2019-1,licitacion,Pequeña,185460797,122,77,38
Cerrillos,2019-1,trato_directo,Grande,1534756,9,8,6
Cerrillos,2019-1,trato_directo,Mediana,410333,20,2,2
Cerrillos,2019-1,trato_directo,Micro,62778414,31,22,19
Cerrillos,2019-1,trato_directo,NoClasificado,7563025,1,1,1
Cerrillos,2019-1,trato_directo,Pequeña,63852380,25,13,9
Cerrillos,2019-2,convenio_marco,Grande,69209142,115,54,15
Cerrillos,2019-2,convenio_marco,Mediana,78813203,114,47,20
Cerrillos,2019-2,convenio_marco,Micro,254356251,294,201,73
Cerrillos,2019-2,convenio_marco,Pequeña,174546077,215,82,40
Cerrillos,2019-2,licitacion,Grande,790907611,49,28,17
Cerrillos,2019-2,licitacion,Mediana,411899356,31,18,14
Cerrillos,2019-2,licitacion,Micro,312152792,251,164,80
Cerrillos,2019-2,licitacion,NoClasificado,13823623,57,25,2
Cerrillos,2019-2,licitacion,Pequeña,667314926,100,67,41
Cerrillos,2019-2,trato_directo,Grande,8336030,17,9,4
Cerrillos,2019-2,trato_directo,Mediana,12920960,2,2,2
Cerrillos,2019-2,trato_directo,Micro,188114558,27,27,20
